season,week,cutline_type,key,raw_cutline,shrunk_cutline,base_cutline
2021,18,slot,FLEX,9.4,9.0,8.4
2021,18,slot,SF,12.74,12.565000000000001,12.39
2021,18,position,QB,12.74,12.5475,12.39
2021,18,position,RB,9.4,9.107500000000002,8.75
2021,18,position,WR,9.6,9.195,8.7
2021,18,position,TE,9.7,8.92,8.4
2022,1,slot,QB,19.34,18.944000000000003,18.62
2022,1,slot,RB,12.3,12.0975,11.85
2022,1,slot,WR,11.3,10.872500000000002,10.350000000000001
2022,1,slot,TE,9.7,9.549999999999999,9.45
2022,1,slot,FLEX,9.0,8.74,8.350000000000001
2022,1,slot,SF,14.8,13.72,12.64
2022,1,position,QB,14.8,13.612,12.64
2022,1,position,RB,9.1,8.8075,8.45
2022,1,position,WR,9.0,8.775,8.5
2022,1,position,TE,9.6,8.82,8.3
2022,2,slot,QB,18.98,18.782,18.62
2022,2,slot,RB,9.8,10.7225,11.85
2022,2,slot,WR,11.5,10.982500000000002,10.350000000000001
2022,2,slot,TE,10.2,9.75,9.45
2022,2,slot,FLEX,8.5,8.440000000000001,8.350000000000001
2022,2,slot,SF,13.3,12.97,12.64
2022,2,position,QB,13.3,12.937000000000001,12.64
2022,2,position,RB,8.5,8.477500000000001,8.45
2022,2,position,WR,8.5,8.5,8.5
2022,2,position,TE,8.7,8.46,8.3
2022,3,slot,QB,17.900000000000002,18.296,18.62
2022,3,slot,RB,12.2,12.0425,11.85
2022,3,slot,WR,12.1,11.3125,10.350000000000001
2022,3,slot,TE,9.4,9.43,9.45
2022,3,slot,FLEX,9.5,9.040000000000001,8.350000000000001
2022,3,slot,SF,13.74,13.190000000000001,12.64
2022,3,position,QB,13.74,13.135000000000002,12.64
2022,3,position,RB,9.5,9.0275,8.45
2022,3,position,WR,9.6,9.105,8.5
2022,3,position,TE,9.4,8.74,8.3
2022,4,slot,QB,20.08,19.277,18.62
2022,4,slot,RB,13.0,12.4825,11.85
2022,4,slot,WR,10.0,10.1575,10.350000000000001
2022,4,slot,TE,10.2,9.75,9.45
2022,4,slot,FLEX,9.0,8.74,8.350000000000001
2022,4,slot,SF,13.74,13.190000000000001,12.64
2022,4,position,QB,13.74,13.135000000000002,12.64
2022,4,position,RB,9.0,8.7525,8.45
2022,4,position,WR,9.1,8.83,8.5
2022,4,position,TE,9.2,8.66,8.3
2022,5,slot,QB,17.94,18.314,18.62
2022,5,slot,RB,14.6,13.3625,11.85
2022,5,slot,WR,9.9,10.102500000000001,10.350000000000001
2022,5,slot,TE,8.100000000000001,8.91,9.45
2022,5,slot,FLEX,8.5,8.440000000000001,8.350000000000001
2022,5,slot,SF,12.08,12.36,12.64
2022,5,position,QB,12.08,12.388,12.64
2022,5,position,RB,9.0,8.7525,8.45
2022,5,position,WR,8.5,8.5,8.5
2022,5,position,TE,8.100000000000001,8.22,8.3
2022,6,slot,QB,16.94,17.864,18.62
2022,6,slot,RB,11.7,11.7675,11.85
2022,6,slot,WR,10.2,10.267500000000002,10.350000000000001
2022,6,slot,TE,11.2,10.149999999999999,9.45
2022,6,slot,FLEX,7.4,7.780000000000001,8.350000000000001
2022,6,slot,SF,11.82,12.23,12.64
2022,6,position,QB,11.82,12.271,12.64
2022,6,position,RB,7.4,7.8725000000000005,8.45
2022,6,position,WR,7.7,8.06,8.5
