player,team,position,tv_y0,tv_y1,tv_y2,tv_y3,pv_tv,tv_source
Tre Harris,AJJ | Turf Titans,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,-12.042708656804994,explicit_path
Brock Purdy,BG | 2 Rice 2 Addison,QB,56.68264731545074,56.68264731545074,56.68264731545074,56.68264731545074,167.32717487521057,explicit_path
C.J. Stroud,BG | 2 Rice 2 Addison,QB,35.748525341171494,35.748525341171494,35.748525341171494,35.748525341171494,105.52964680713825,explicit_path
Jaxson Dart,BG | 2 Rice 2 Addison,QB,70.36632135598788,70.36632135598788,70.36632135598788,70.36632135598788,207.72138064287623,explicit_path
Bhayshul Tuten,BG | 2 Rice 2 Addison,RB,15.83076456597613,15.83076456597613,15.83076456597613,15.83076456597613,46.732416998761536,explicit_path
Blake Corum,BG | 2 Rice 2 Addison,RB,14.633839705389317,14.633839705389317,14.633839705389317,14.633839705389317,43.19909481030926,explicit_path
Breece Hall,BG | 2 Rice 2 Addison,RB,28.80292422380369,28.80292422380369,28.80292422380369,28.80292422380369,85.02623230866848,explicit_path
Jaydon Blue,BG | 2 Rice 2 Addison,RB,-0.0013952432203538,-0.0013952432203538,-0.0013952432203538,-0.0013952432203538,-0.004118757986484417,explicit_path
Jonathon Brooks,BG | 2 Rice 2 Addison,RB,0.7867734762632523,0.7867734762632523,0.7867734762632523,0.7867734762632523,2.3225553019291207,explicit_path
TreVeyon Henderson,BG | 2 Rice 2 Addison,RB,28.80292422380369,28.80292422380369,28.80292422380369,28.80292422380369,85.02623230866848,explicit_path
Tyler Allgeier,BG | 2 Rice 2 Addison,RB,14.633839705389317,14.633839705389317,14.633839705389317,14.633839705389317,43.19909481030926,explicit_path
Colston Loveland,BG | 2 Rice 2 Addison,TE,28.23771284628299,28.23771284628299,28.23771284628299,28.23771284628299,83.35772832222739,explicit_path
Harold Fannin Jr.,BG | 2 Rice 2 Addison,TE,0.9390487130852176,0.9390487130852176,0.9390487130852176,0.9390487130852176,2.7720718010275625,explicit_path
Emeka Egbuka,BG | 2 Rice 2 Addison,WR,25.389096041484432,25.389096041484432,25.389096041484432,25.389096041484432,74.94861151446204,explicit_path
Jalen McMillan,BG | 2 Rice 2 Addison,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,-12.042708656804994,explicit_path
Jameson Williams,BG | 2 Rice 2 Addison,WR,25.389096041484432,25.389096041484432,25.389096041484432,25.389096041484432,74.94861151446204,explicit_path
Jaylin Noel,BG | 2 Rice 2 Addison,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,-12.042708656804994,explicit_path
Kyle Williams,BG | 2 Rice 2 Addison,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,-12.042708656804994,explicit_path
Luther Burden III,BG | 2 Rice 2 Addison,WR,25.389096041484432,25.389096041484432,25.389096041484432,25.389096041484432,74.94861151446204,explicit_path
Rashee Rice,BG | 2 Rice 2 Addison,WR,40.9862365841931,40.9862365841931,40.9862365841931,40.9862365841931,120.99137039653803,explicit_path
Ricky Pearsall,BG | 2 Rice 2 Addison,WR,5.184181422414308,5.184181422414308,5.184181422414308,5.184181422414308,15.303703558967037,explicit_path
Tetairoa McMillan,BG | 2 Rice 2 Addison,WR,40.9862365841931,40.9862365841931,40.9862365841931,40.9862365841931,120.99137039653803,explicit_path
Joe Burrow,Box of Broken Toys,QB,108.28203345972584,108.28203345972584,108.28203345972584,108.28203345972584,319.6485627731107,explicit_path
Cam Skattebo,Box of Broken Toys,RB,21.420335361786737,21.420335361786737,21.420335361786737,21.420335361786737,63.23282998799445,explicit_path
Dylan Sampson,Box of Broken Toys,RB,6.2284550304254624,6.2284550304254624,6.2284550304254624,6.2284550304254624,18.386399249815966,explicit_path
Isiah Pacheco,Box of Broken Toys,RB,4.799586798979035,4.799586798979035,4.799586798979035,4.799586798979035,14.16838023058611,explicit_path
Jordan James,Box of Broken Toys,RB,-0.0013952432203538,-0.0013952432203538,-0.0013952432203538,-0.0013952432203538,-0.004118757986484417,explicit_path
Dallas Goedert,Box of Broken Toys,TE,0.9390487130852176,0.9390487130852176,0.9390487130852176,0.9390487130852176,2.7720718010275625,explicit_path
Dont'e Thornton Jr.,Box of Broken Toys,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,-12.042708656804994,explicit_path
Isaac TeSlaa,Box of Broken Toys,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,-12.042708656804994,explicit_path
Jayden Higgins,Box of Broken Toys,WR,4.837466104965387,4.837466104965387,4.837466104965387,4.837466104965387,14.280199941857822,explicit_path
Jayden Reed,Box of Broken Toys,WR,4.837466104965387,4.837466104965387,4.837466104965387,4.837466104965387,14.280199941857822,explicit_path
Jaylin Lane,Box of Broken Toys,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,-12.042708656804994,explicit_path
Marvin Mims Jr.,Box of Broken Toys,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,-12.042708656804994,explicit_path
Rashid Shaheed,Box of Broken Toys,WR,-1.7765210863149712,-1.7765210863149712,-1.7765210863149712,-1.7765210863149712,-5.2442902468017945,explicit_path
Roman Wilson,Box of Broken Toys,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,-12.042708656804994,explicit_path
