player,team,position,year_index,cap_hit_real,cap_hit_current,schedule_source,needs_schedule_validation
Dont'e Thornton Jr.,Box of Broken Toys,WR,1,7.0,,standard_rule,False
Jaylin Lane,Box of Broken Toys,WR,0,3.0,1.0,standard_rule,False
Jordan James,Box of Broken Toys,RB,0,3.0,1.0,standard_rule,False
Jordan James,Box of Broken Toys,RB,1,4.0,,standard_rule,False
Jordan James,Box of Broken Toys,RB,2,5.0,,standard_rule,False
Roman Wilson,Box of Broken Toys,WR,0,2.0,1.0,standard_rule,False
Dylan Sampson,Box of Broken Toys,RB,0,2.0,1.0,standard_rule,False
Dylan Sampson,Box of Broken Toys,RB,1,3.0,,standard_rule,False
Isaac TeSlaa,Box of Broken Toys,WR,0,8.0,2.0,standard_rule,False
Caleb Williams,AJJ | Turf Titans,QB,0,18.0,18.0,standard_rule,False
Tyjae Spears,AJJ | Turf Titans,RB,0,4.0,4.0,standard_rule,False
Omarion Hampton,AJJ | Turf Titans,RB,0,14.0,14.0,standard_rule,False
Omarion Hampton,AJJ | Turf Titans,RB,1,16.0,,standard_rule,False
Malik Nabers,AJJ | Turf Titans,WR,0,16.0,16.0,standard_rule,False
Brian Thomas Jr.,AJJ | Turf Titans,WR,0,6.0,6.0,standard_rule,False
Rome Odunze,AJJ | Turf Titans,WR,0,13.0,13.0,standard_rule,False
Dalton Schultz,AJJ | Turf Titans,TE,0,2.0,2.0,standard_rule,False
DK Metcalf,AJJ | Turf Titans,WR,0,24.0,24.0,standard_rule,False
Matthew Golden,AJJ | Turf Titans,WR,0,5.0,5.0,standard_rule,False
Matthew Golden,AJJ | Turf Titans,WR,1,6.0,,standard_rule,False
Jalen Coker,AJJ | Turf Titans,WR,0,2.0,2.0,standard_rule,False
Jalen Coker,AJJ | Turf Titans,WR,1,3.0,,standard_rule,False
Woody Marks,AJJ | Turf Titans,RB,0,2.0,2.0,standard_rule,False
Woody Marks,AJJ | Turf Titans,RB,1,3.0,,standard_rule,False
Deebo Samuel Sr.,AJJ | Turf Titans,WR,0,27.0,27.0,standard_rule,False
Tre Harris,AJJ | Turf Titans,WR,0,4.0,1.0,standard_rule,False
Tre Harris,AJJ | Turf Titans,WR,1,5.0,,standard_rule,False
Brashard Smith,AJJ | Turf Titans,RB,0,1.0,1.0,standard_rule,False
Brashard Smith,AJJ | Turf Titans,RB,1,2.0,,standard_rule,False
