player,team,position,tv_y0,tv_y1,tv_y2,tv_y3,adp,rsv_hat,rsv_p25,rsv_p50,rsv_p75,rankings_player,nfl_team,matched_rankings,is_rostered,tv_input_source,ranking_source,gsis_id,_season
Terrance Ferguson,John | Turbo Team,TE,-9.877791010161058,-9.877791010161058,-9.877791010161058,-9.877791010161058,196,-9.877791010161058,-15.836412066026298,-10.110479310667568,-7.719672409692807,Terrance Ferguson,LAR,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040737,2026
Amon-Ra St. Brown,John | Turbo Team,WR,80.643507239283,80.643507239283,80.643507239283,80.643507239283,20,80.643507239283,54.67382303415923,75.03720118040495,98.56473332427349,Amon-Ra St. Brown,DET,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0036963,2026
Elic Ayomanor,John | Turbo Team,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,185,-4.079508352576218,-11.422265324803611,-6.439648782744728,2.8602624279593725,Elic Ayomanor,TEN,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040170,2026
Jack Bech,John | Turbo Team,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,249,-4.079508352576218,-11.422265324803611,-6.439648782744728,2.8602624279593725,Jack Bech,LV,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040729,2026
Jaxon Smith-Njigba,John | Turbo Team,WR,80.643507239283,80.643507239283,80.643507239283,80.643507239283,12,80.643507239283,52.23429307059304,74.90270077991146,105.33060172850585,Jaxon Smith-Njigba,SEA,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0038543,2026
Nico Collins,John | Turbo Team,WR,53.57937714279428,53.57937714279428,53.57937714279428,53.57937714279428,33,53.57937714279428,28.98381376128465,47.58478301666821,66.18910245011287,Nico Collins,HOU,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0036554,2026
Josh Allen,Kermit,QB,111.40428935212768,111.40428935212768,111.40428935212768,111.40428935212768,1,111.40428935212768,54.99022905263607,108.00476065670999,150.6987437472527,Josh Allen,BUF,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0034857,2026
Trevor Lawrence,Kermit,QB,56.682647315450744,56.682647315450744,56.682647315450744,56.682647315450744,17,56.682647315450744,33.010461052949715,49.79693856033289,80.44699188190936,Trevor Lawrence,JAC,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0036971,2026
Tyler Shough,Kermit,QB,41.524522557582316,41.524522557582316,41.524522557582316,41.524522557582316,50,41.524522557582316,4.884030959821835,35.99882582737923,60.784246226183825,Tyler Shough,NO,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040743,2026
Chuba Hubbard,Kermit,RB,14.633839705389315,14.633839705389315,14.633839705389315,14.633839705389315,104,14.633839705389315,-3.8711850571637836,3.5755748395850535,26.19507186294232,Chuba Hubbard,CAR,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0036555,2026
DJ Giddens,Kermit,RB,-0.0013952432203538923,-0.0013952432203538923,-0.0013952432203538923,-0.0013952432203538923,256,-0.0013952432203538923,-6.969293934069573,-4.015501319077036,1.551523674956429,DJ Giddens,IND,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040179,2026
Josh Jacobs,Kermit,RB,28.80292422380369,28.80292422380369,28.80292422380369,28.80292422380369,48,28.80292422380369,2.4534634530482045,20.10739760900821,46.188260767702715,Josh Jacobs,GB,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0035700,2026
Ben Sinnott,Kermit,TE,-9.877791010161058,-9.877791010161058,-9.877791010161058,-9.877791010161058,333,-9.877791010161058,-15.836412066026298,-10.110479310667568,-7.719672409692807,Ben Sinnott,WAS,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0039912,2026
George Kittle,Kermit,TE,0.9390487130852175,0.9390487130852175,0.9390487130852175,0.9390487130852175,136,0.9390487130852175,-8.876555990655163,-2.0437520426519815,9.611571805034306,George Kittle,SF,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0033288,2026
Adonai Mitchell,Kermit,WR,1.7335249588465584,1.7335249588465584,1.7335249588465584,1.7335249588465584,164,1.7335249588465584,-5.753242420486824,-0.8462342612377702,8.459263387114671,Adonai Mitchell,NYJ,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0039890,2026
Jaylen Waddle,Kermit,WR,25.389096041484432,25.389096041484432,25.389096041484432,25.389096041484432,69,25.389096041484432,5.910481983552174,20.7629375696977,45.29883844996302,Jaylen Waddle,DEN,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0036613,2026
Pat Bryant,Kermit,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,187,-4.079508352576218,-11.422265324803611,-6.439648782744728,2.8602624279593725,Pat Bryant,DEN,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040134,2026
Troy Franklin,Kermit,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,173,-4.079508352576218,-11.422265324803611,-6.439648782744728,2.8602624279593725,Troy Franklin,DEN,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0039868,2026
Bryce Young,Mike Vick In A Box,QB,25.24237125292212,25.24237125292212,25.24237125292212,25.24237125292212,72,25.24237125292212,4.928910029161095,18.453361397632474,39.851747703785655,Bryce Young,CAR,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0039150,2026
